Timestamp,Name,Gender,Job Role,Department,1. I generally feel happy and satisfied during my workday.,"2. I experience positive emotions (enthusiasm, excitement) while performing my tasks.",3. I remain calm and composed even under pressure.,"4.  Negative emotions (stress, frustration) interfere with my work.",5. I usually start my workday with a positive mindset.,1.  I feel energized and enthusiastic about my job.,2.  I am fully absorbed in my work most of the time.,3. I often go beyond what is required in my role.,4.  I find my work meaningful and motivating.,5.  I am committed to giving my best at work.,1. I complete my tasks efficiently within deadlines.,2.  I maintain high quality in my work output.,3.  I actively contribute to achieving team goals.,4.  I am consistent in meeting performance expectations.,5.  My performance has improved over the past few months.,1.  I am aware of my organization’s AI-related policies.,  2.  The BAN AI policy limits how AI tools can be used in my work.,"3. The policy affects my ability to use AI for improving productivity.
",4. I believe the BAN AI policy supports ethical and fair workplace Practices. ,5.  I feel the BAN AI policy impacts how emotions influence my productivity.
2025/10/13 2:00:14 AM GMT+5,Fatima Tahir,Female,Non Teaching Staff,vo8in49u,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Strongly disagree,Strongly agree,Agree,Neutral,Agree
2025/10/13 2:00:21 AM GMT+5,Bilal Siddiqui,Male,Non Teaching Staff,0xgm31o0,Agree,Strongly agree,Disagree,Agree,Strongly disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Neutral
2025/10/13 2:00:27 AM GMT+5,Bilal Siddiqui,Female,Coordinator,x98tg45r,Strongly disagree,Agree,Disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Agree
2025/10/13 2:00:34 AM GMT+5,Bilal Siddiqui,Female,Non Teaching Staff,4cmkjxc4,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Neutral,Neutral,Agree,Strongly disagree,Neutral,Disagree,Disagree,Disagree
2025/10/13 2:00:40 AM GMT+5,Fatima Tahir,Female,Coordinator,3ptwjn3o,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree
2025/10/13 2:00:47 AM GMT+5,Iqra Azzam,Male,Non Teaching Staff,n1s2zflz,Disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Disagree,Agree
2025/10/13 2:00:53 AM GMT+5,Hafiz Ahmad,Male,Coordinator,xidbba8n,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Strongly disagree
2025/10/13 2:01:00 AM GMT+5,Bilal Siddiqui,Male,Non Teaching Staff,iaosa6f3,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly disagree,Disagree,Strongly agree,Neutral,Agree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree
2025/10/13 2:01:06 AM GMT+5,Marium Zameer,Male,Non Teaching Staff,e9e4qx4v,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly agree,Disagree,Neutral,Agree,Strongly disagree,Neutral,Disagree
2025/10/13 2:01:13 AM GMT+5,Fatima Tahir,Female,Non Teaching Staff,coalnbew,Strongly agree,Neutral,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly disagree
2025/10/13 2:01:20 AM GMT+5,Faizan Ali,Male,Teacher,amzvsxxt,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Disagree
2025/10/13 2:01:26 AM GMT+5,Hafiz Ahmad,Male,Non Teaching Staff,trcaez3l,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly agree,Neutral,Disagree,Strongly disagree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Strongly agree,Agree,Strongly disagree,Neutral
2025/10/13 2:01:33 AM GMT+5,Marium Zameer,Female,Non Teaching Staff,m6uefj0c,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Neutral,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Disagree,Strongly disagree,Agree,Neutral,Agree,Strongly agree
2025/10/13 2:01:39 AM GMT+5,Hafiz Ahmad,Male,Teacher,ie08fszq,Agree,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree
2025/10/13 2:01:46 AM GMT+5,Bilal Siddiqui,Male,Non Teaching Staff,03eyihyi,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Agree,Agree
2025/10/13 2:01:52 AM GMT+5,Faizan Ali,Male,Coordinator,rw9mb5t4,Agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Strongly disagree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly agree,Disagree
2025/10/13 2:01:59 AM GMT+5,Marium Zameer,Male,Teacher,hovlz1dy,Agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Neutral
2025/10/13 2:02:06 AM GMT+5,Subhan Khalid,Male,Coordinator,sbdu0nhe,Neutral,Neutral,Neutral,Agree,Strongly disagree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree
2025/10/13 2:02:13 AM GMT+5,Marium Zameer,Female,Non Teaching Staff,unke2e6a,Strongly agree,Neutral,Strongly disagree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree
2025/10/13 2:02:19 AM GMT+5,Faizan Ali,Female,Coordinator,kw6tjwlq,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Neutral,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Neutral
2025/10/13 2:02:26 AM GMT+5,Fatima Tahir,Male,Teacher,z4wscop7,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Neutral,Neutral,Strongly agree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Neutral,Disagree,Strongly disagree
2025/10/13 2:02:32 AM GMT+5,Bilal Siddiqui,Male,Coordinator,nu5gd9jr,Strongly agree,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Agree
2025/10/13 2:02:39 AM GMT+5,Faizan Ali,Male,Teacher,v9g5qyap,Disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly agree,Neutral,Agree
2025/10/13 2:14:13 AM GMT+5,Sadia Shah,Female,Teacher,kkh1c0pg,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Neutral,Strongly disagree,Strongly disagree
2025/10/13 2:14:19 AM GMT+5,Hammad Akram,Female,Coordinator,m9rekvso,Agree,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree
2025/10/13 2:14:26 AM GMT+5,Aleena Hashmi,Female,Coordinator,3ryjx77e,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly disagree
2025/10/13 2:14:32 AM GMT+5,Farhan Sheikh,Female,Coordinator,jc2ixqwn,Strongly agree,Strongly agree,Strongly disagree,Neutral,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Neutral,Disagree,Neutral,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly agree
2025/10/13 2:14:38 AM GMT+5,Komal Mughal,Female,Non Teaching Staff,qwsofci3,Disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Strongly disagree,Neutral,Strongly agree,Agree,Neutral,Agree,Disagree,Strongly disagree
2025/10/13 2:14:45 AM GMT+5,Ayesha Ahmed,Male,Coordinator,lbfddb1o,Agree,Disagree,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Agree,Strongly agree,Agree,Strongly disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly agree,Agree,Agree,Agree
2025/10/13 2:14:51 AM GMT+5,Usman Butt,Male,Teacher,quuqa6ci,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Agree,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Neutral
2025/10/13 2:14:57 AM GMT+5,Rida Chaudhry,Male,Coordinator,3o3hzh3a,Strongly agree,Neutral,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Strongly disagree,Strongly agree,Neutral,Neutral,Disagree,Strongly disagree
2025/10/13 2:15:04 AM GMT+5,Usman Sheikh,Male,Teacher,3h0648h6,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly disagree,Strongly agree,Agree
2025/10/13 2:15:10 AM GMT+5,Fatima Aslam,Male,Coordinator,9c3m6ox0,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree
2025/10/13 2:15:16 AM GMT+5,Usman Zameer,Male,Teacher,1c12fe4d,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly agree
2025/10/13 2:15:22 AM GMT+5,Sara Hashmi,Male,Coordinator,y754bn6l,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Agree,Disagree,Neutral,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Agree
2025/10/13 2:15:28 AM GMT+5,Sadia Hashmi,Female,Teacher,3c44kj2g,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Neutral
2025/10/13 2:15:34 AM GMT+5,Ahmad Zameer,Female,Teacher,yt9lpm7n,Strongly agree,Neutral,Agree,Strongly disagree,Neutral,Agree,Strongly disagree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Strongly disagree,Neutral,Agree,Strongly disagree,Agree,Neutral
2025/10/13 2:15:40 AM GMT+5,Sara Siddiqui,Male,Teacher,0pnfbvvd,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Agree
2025/10/13 2:15:46 AM GMT+5,Saad Sheikh,Male,Teacher,byh2jagw,Neutral,Disagree,Strongly disagree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree
2025/10/13 2:15:52 AM GMT+5,Noman Hashmi,Male,Teacher,sguj536w,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly agree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Neutral,Agree,Neutral,Strongly agree,Disagree,Agree
2025/10/13 2:15:57 AM GMT+5,Ayesha Irfan,Male,Coordinator,w8idwlo3,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Neutral,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral
2025/10/13 2:16:04 AM GMT+5,Anum Akram,Female,Non Teaching Staff,jgv07ozn,Strongly disagree,Agree,Strongly disagree,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly agree,Neutral,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neutral,Neutral
2025/10/13 2:16:10 AM GMT+5,Aleena Butt,Male,Coordinator,wnl7pp5v,Strongly agree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,Neutral,Agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Neutral,Strongly disagree
2025/10/13 2:16:18 AM GMT+5,Zainab Zameer,Female,Coordinator,f4tvdur0,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Neutral,Strongly disagree,Agree,Disagree,Disagree,Neutral,Strongly agree,Strongly agree
2025/10/13 2:16:25 AM GMT+5,Adeel Rehman,Female,Coordinator,axg3h9tu,Strongly agree,Neutral,Strongly agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Neutral,Strongly agree,Agree,Agree,Disagree
2025/10/13 2:16:31 AM GMT+5,Mishal Mughal,Female,Coordinator,f3kmjj96,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral
2025/10/13 2:16:37 AM GMT+5,Suleman Tariq,Female,Non Teaching Staff,zyjs8w5m,Disagree,Strongly disagree,Neutral,Strongly agree,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly agree
2025/10/13 2:16:43 AM GMT+5,Fariha Mirza,Male,Non Teaching Staff,bjl7szyg,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Disagree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree
2025/10/13 2:16:49 AM GMT+5,Amna Tahir,Female,Non Teaching Staff,fqadzo8c,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree
2025/10/13 2:16:55 AM GMT+5,Mishal Chaudhry,Female,Coordinator,masoxusx,Strongly disagree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Neutral,Strongly disagree,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral
2025/10/13 2:17:01 AM GMT+5,Aqsa Tahir,Female,Coordinator,6u8xg9f6,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Strongly disagree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Strongly disagree
2025/10/13 2:17:08 AM GMT+5,Amna Mughal,Female,Coordinator,tcqnj7b8,Strongly agree,Neutral,Strongly disagree,Neutral,Agree,Neutral,Disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree
2025/10/13 2:17:15 AM GMT+5,Mahnoor Mirza,Male,Teacher,5a6z75lh,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Neutral,Strongly disagree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Strongly agree,Strongly disagree
